Task,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Train Time (s)
NR-AR-LBD,Random Forest,0.9757653061224489,0.5,0.21052631578947367,0.2962962962962963,0.8127966976264189,0.2752712910721001,15.947359323501587
NR-AR-LBD,SVM,0.9732142857142857,0.0,0.0,0.0,0.8630202958376333,0.2055702288618145,83.48693513870239
NR-Aromatase,Random Forest,0.9413265306122449,0.6,0.06382978723404255,0.11538461538461536,0.6842576286844309,0.23043523463327137,15.887169599533081
NR-Aromatase,SVM,0.9413265306122449,0.5714285714285714,0.0851063829787234,0.14814814814814814,0.6404341926729986,0.17675616657574553,110.92162680625916
NR-AR,Random Forest,0.9706632653061225,0.6666666666666666,0.2962962962962963,0.41025641025641024,0.7441166397573267,0.3467693423391601,16.33772611618042
NR-AR,SVM,0.9630102040816326,0.25,0.037037037037037035,0.06451612903225806,0.6356964626449435,0.16275572020972653,112.71852374076843
NR-AhR,Random Forest,0.889030612244898,0.631578947368421,0.13043478260869565,0.21621621621621623,0.7624010429756218,0.3615516608763675,14.40855622291565
NR-AhR,SVM,0.8852040816326531,0.5263157894736842,0.21739130434782608,0.3076923076923077,0.759440185976376,0.35977878207541425,158.94317317008972
NR-PPAR-gamma,Random Forest,0.9719387755102041,0.0,0.0,0.0,0.6941958959675495,0.08831104265199033,4.319753170013428
NR-PPAR-gamma,SVM,0.9719387755102041,0.0,0.0,0.0,0.5919231686948222,0.09481512257386157,80.58903670310974
NR-ER-LBD,Random Forest,0.9732142857142857,0.5,0.14285714285714285,0.22222222222222224,0.6529364039193659,0.15167548682303775,5.096295118331909
NR-ER-LBD,SVM,0.9681122448979592,0.25,0.09523809523809523,0.13793103448275862,0.6818947762591275,0.12194757248047959,123.67286133766174
NR-ER,Random Forest,0.9068877551020408,0.38461538461538464,0.07142857142857142,0.12048192771084336,0.5864045618247299,0.1964163398853605,5.547276973724365
NR-ER,SVM,0.8954081632653061,0.2857142857142857,0.11428571428571428,0.16326530612244897,0.6386454581832732,0.20509150692636496,200.65989542007446
SR-ATAD5,Random Forest,0.9540816326530612,0.0,0.0,0.0,0.6245208408990033,0.07861551302662245,4.241445302963257
SR-ATAD5,SVM,0.9566326530612245,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.6655772101844006,0.14077163151183628,98.90414452552795
SR-ARE,Random Forest,0.8469387755102041,0.25,0.00847457627118644,0.01639344262295082,0.6082608031760574,0.24246647317127468,5.279164791107178
SR-ARE,SVM,0.8469387755102041,0.45454545454545453,0.0847457627118644,0.14285714285714285,0.6118046012113808,0.23984677088146084,198.1506004333496
SR-HSE,Random Forest,0.9400510204081632,0.5,0.02127659574468085,0.04081632653061224,0.6459193394728484,0.1960841404918326,5.647071123123169
SR-HSE,SVM,0.9387755102040817,0.42857142857142855,0.06382978723404255,0.1111111111111111,0.6242097058229162,0.18136784571362966,133.3783473968506
SR-p53,Random Forest,0.9107142857142857,0.6666666666666666,0.05555555555555555,0.10256410256410256,0.7102450062421973,0.28804097807910656,5.086295127868652
SR-p53,SVM,0.9094387755102041,0.6,0.041666666666666664,0.07792207792207792,0.7073189762796506,0.28508463008710333,100.7632462978363
SR-MMP,Random Forest,0.8775510204081632,0.5,0.0625,0.1111111111111111,0.7478878997093024,0.33265691962835353,4.231998682022095
SR-MMP,SVM,0.8686224489795918,0.3333333333333333,0.07291666666666667,0.11965811965811966,0.7034126695736433,0.2493970726956641,135.6768126487732
