Model,Task,Split,ROC-AUC,PR-AUC
GAT,NR-AR,VALID,0.7843440860215053,0.26990161461882134
GAT,NR-AR-LBD,VALID,0.8619047619047618,0.39256169567603616
GAT,NR-AhR,VALID,0.8168124151180893,0.4035239546285899
GAT,NR-Aromatase,VALID,0.7315217391304348,0.1485247002075315
GAT,NR-ER,VALID,0.6441926345609066,0.21487691670659675
GAT,NR-ER-LBD,VALID,0.7720561261922231,0.2452999959677637
GAT,NR-PPAR-gamma,VALID,0.7709237316421894,0.23976671123483023
GAT,SR-ARE,VALID,0.6953648915187377,0.2650001336960735
GAT,SR-ATAD5,VALID,0.6858291842206052,0.10688264529577311
GAT,SR-HSE,VALID,0.7813858952543014,0.17359040699742143
GAT,SR-MMP,VALID,0.7855846091315539,0.34042202670587735
GAT,SR-p53,VALID,0.699395656279509,0.1844455385545121
GAT,NR-AR,TEST,0.7196958547951925,0.18747297444665692
GAT,NR-AR-LBD,TEST,0.7312547423604884,0.14298490579648543
GAT,NR-AhR,TEST,0.7725976685570259,0.33219499661280133
GAT,NR-Aromatase,TEST,0.6985526125343755,0.16272160360477095
GAT,NR-ER,TEST,0.6473715890850722,0.18035550070034312
GAT,NR-ER-LBD,TEST,0.6997059007571491,0.11370047595236481
GAT,NR-PPAR-gamma,TEST,0.7029306220095694,0.07780087113156868
GAT,SR-ARE,TEST,0.6280248111088421,0.2416564620384157
GAT,SR-ATAD5,TEST,0.6914067241170045,0.15081435223994963
GAT,SR-HSE,TEST,0.7500651324359531,0.16022282021636208
GAT,SR-MMP,TEST,0.7588526482021379,0.2813678806166171
GAT,SR-p53,TEST,0.6949628325508607,0.22788123705630628
